order_id,order_datetime,value,discount,total,status
1001,2026-01-05T09:30:00,1000.00,50.00,950.00,PAID
1002,2026-01-12T14:10:00,480.00,0.00,480.00,PAID
1003,2026-01-20T18:45:00,250.00,25.00,225.00,CANCELLED
1004,2026-01-28T11:00:00,1320.50,120.50,1200.00,PENDING
1005,2026-02-03T08:15:00,760.00,60.00,700.00,PAID
1006,2026-02-15T16:20:00,199.90,0.00,199.90,PAID
1007,2026-02-27T13:05:00,2500.00,250.00,2250.00,PAID
1008,2026-03-08T10:40:00,540.00,40.00,500.00,PENDING
1009,2026-03-19T19:55:00,880.00,80.00,800.00,PAID
1010,2026-03-30T12:25:00,1500.00,0.00,1500.00,CANCELLED
1011,2026-07-04T09:00:00,320.00,20.00,300.00,PAID
1012,2026-07-16T15:30:00,4100.00,100.00,4000.00,PAID
